IdForma,Descripción,Tamaño (CM),Peso (KG)
483 - A,Un Pokémon de leyenda. Se dice que el tiempo comenzó a avanzar cuando Dialga nació.,540,683
483 - B,Un Pokémon de leyenda. Se dice que el tiempo comenzó a avanzar cuando Dialga nació.,700,848.7
484 - A,Se dice que vive en una dimensión espacial paralela. Aparece en la mitología.,420,336
484 - B,Se dice que vive en una dimensión espacial paralela. Aparece en la mitología.,630,659
485 - A,Habita cuevas volcánicas. Cava con sus pies en forma de cruz para trepar por techos y paredes.,170,430
486 - A,"Se dice que usó rocas, magma y un hielo especial de montaña para crear Pokémon con su aspecto.",370,420
487 - A,"Vive en el Mundo Distorsión, un mundo opuesto al nuestro y cuyas leyes desafían el sentido común.",450,750
487 - B,"Vive en el Mundo Distorsión, un mundo opuesto al nuestro y cuyas leyes desafían el sentido común.",690,650
488 - A,Sus alas emiten un velo de partículas brillantes. Se dice que representa un cuarto lunar.,150,85.6
489 - A,"Si sube la temperatura del mar, infla el flotador de su cabeza y flota en grupo en la superficie.",40,3.1
490 - A,Nace con un maravilloso poder que le permite establecer vínculos con cualquier tipo de Pokémon.,30,1.4
491 - A,Defiende su territorio de personas y Pokémon haciéndoles dormir y provocándoles pesadillas.,150,50.5
492 - A,Puede disolver las toxinas del aire para transformar tierra yerma en campos de flores.,20,2.1
492 - B,Puede disolver las toxinas del aire para transformar tierra yerma en campos de flores.,40,5.2
493 - A,"Según la mitología de Sinnoh, Arceus surgió de un huevo y después creó todo el mundo.",320,320
494 - A,Pokémon que atrae la victoria. Dicen que el Entrenador que lo lleve saldrá vencedor de cualquier batalla.,40,4
495 - A,"Cuando recibe los rayos de sol, se mueve mucho más rápido que de costumbre. Usa mejor sus lianas que sus manos.",60,8.1
496 - A,Parece que se desliza al correr. Engaña a sus rivales con su velocidad y los fustiga con su látigo.,80,16
497 - A,Tan solo muestra su verdadero poder a quienes no se amedrentan ante su noble pero inquisitoria mirada.,330,63
498 - A,Evita con agilidad los ataques enemigos. Lanza bolas de fuego por su hocico y tuesta bayas del bosque para comer.,50,9.9
499 - A,"Cuanto más come, más combustible tiene en su interior para avivar sus llamas, con lo que también aumenta su poder.",100,55.5
500 - A,Calienta sus puños con las llamas de su barbilla para propinar puñetazos ardientes. Es muy fiel a sus compañeros.,160,150
501 - A,"La vieira de su ombligo no solo sirve como arma, sino también como instrumento para cortar las bayas que estén duras.",50,5.9
502 - A,Gran espadachín. Utiliza sus dos vieiras con soltura al ejecutar las técnicas que aprende con una disciplina espartana.,80,24.5
503 - A,"En un abrir y cerrar de ojos, puede desenvainar y envainar los sables que hay en sus patas delanteras.",150,94.6
503 - B,"En un abrir y cerrar de ojos, puede desenvainar y envainar los sables que hay en sus patas delanteras.",150,58.2
504 - A,Almacena víveres en unas bolsas en sus mofletes y vigila durante días. Hace señales con la cola a sus compañeros.,50,11.6
505 - A,"Los componentes luminiscentes de su interior hacen que sus ojos y su cuerpo brillen, y así intimida a sus rivales.",110,27
506 - A,Los mechones que cubren su cara actúan como un magnífico radar para detectar con precisión lo que hay a su alrededor.,40,4.1
507 - A,"Este Pokémon es muy leal. No solo ayuda a Entrenadores, sino que también se preocupa por otros Pokémon.",90,14.7
508 - A,Socorre a humanos perdidos en montañas azotadas por ventiscas. Su largo pelaje le protege del frío.,120,61
509 - A,"Distrae a su oponente con movimientos gráciles y sustrae sus pertenencias. Cuando se enfada, ataca con las garras.",40,10.1
510 - A,"Su bella y grácil silueta le viene dada por su desarrollada musculatura, que le permite andar de noche sin hacer ruido.",110,37.5
511 - A,Comparte las hojas de su cabeza con Pokémon agotados. Posee la facultad de aliviar el cansancio.,60,10.5
512 - A,Ataca estampando las espinas de su cola en el enemigo. Es un Pokémon con mucho temperamento.,110,30.5
513 - A,Pokémon muy inteligente que tiene la costumbre de tostar las bayas antes de comérselas. Ayuda mucho a los humanos.,60,11
514 - A,"Achicharra a sus enemigos desprendiendo llamas por la cola y la cabeza, fruto de su desmesurado calor interno.",100,28
515 - A,El agua acumulada en su mata de pelo es rica en nutrientes. Usa su cola para regar plantas con esa misma agua.,60,13.5
516 - A,"Cuando lanza agua a alta presión con su cola, puede incluso resquebrajar una pared de cemento.",100,29
517 - A,"Cuando un humano o un Pokémon sufre una pesadilla, Munna se aparece ante ellos y la engulle.",60,23.3
518 - A,Multitud de sueños de humanos y Pokémon se encuentran atrapados en el humo que despide por su frente.,110,60.5
519 - A,"Es un Pokémon muy despistado. Aunque reciba órdenes de su Entrenador, se le olvidan, y se queda esperando.",30,2.1
520 - A,"Según los rumores, en lo más profundo del bosque donde mora Tranquill, hay un mundo pacífico y exento de luchas.",60,15
521 - A,"El macho amenaza al enemigo meciendo el adorno de su cabeza. Al volar, la hembra es mucho más diestra que el macho.",120,29
522 - A,Aparece cuando nubes envueltas en rayos encapotan el cielo. Atrapa rayos con su crin y almacena electricidad.,80,29.8
523 - A,"Es un Pokémon con mucho temperamento. Cuando se enoja, lanza rayos desde su crin en todas direcciones.",160,79.5
524 - A,"Su oreja tiene forma hexagonal. Su cuerpo fue comprimido bajo tierra. Por eso, es duro como el acero.",40,18
525 - A,La energía que no puede contener en el interior de su cuerpo se escapa formando cristales naranjas.,90,102
526 - A,"Absorbe los rayos solares, procesa esa energía en su núcleo y lanza poderosas bolas de luz a sus enemigos.",170,260
527 - A,Vive en bosques oscuros y cavernas. Emite ultrasonidos por la nariz para saber todo lo que pasa a su alrededor.,40,2.1
528 - A,"Cuando emite ondas ultrasónicas, que incluso pueden reventar el cemento, agita su cola con vehemencia.",90,10.5
529 - A,"Cuando junta las garras y comienza a dar vueltas frenéticas, avanza bajo tierra a gran velocidad.",30,8.5
530 - A,Su taladro ha evolucionado y es capaz de atravesar una lámina de hierro. Es muy útil para construir túneles.,70,40.4
531 - A,"Con las antenas de sus oídos, perciben el estado de un rival o predicen cuándo va a eclosionar un Huevo Pokémon.",110,31
532 - A,Siempre lleva vigas de madera. Normalmente ayuda en obras de construcción.,60,12.5
533 - A,"Gracias a su entrenada musculatura, puede blandir vigas de acero sin problema para así derribar edificios enteros.",120,40
534 - A,Se cree que Conkeldurr enseñó a los humanos la técnica para elaborar cemento hace más de 2000 años.,140,87
535 - A,Emite sonidos imperceptibles para los humanos con la vibración de sus mejillas y advierte de algún peligro a los suyos.,50,4.5
536 - A,"Cuando hace vibrar el bulto de su cabeza, no solo se embravece el mar, sino que la tierra también tiembla.",80,17
537 - A,Aumenta la potencia de sus puñetazos haciendo vibrar sus puños. Es capaz de quebrar una roca de un solo golpe.,150,62
538 - A,Aumenta su potencia si se aprieta el cinturón. Un Throh salvaje teje su propio cinturón usando lianas.,130,55.5
539 - A,"Para lograr dominar las técnicas de kárate más letales, se retiran a las montañas y entrenan día y noche.",140,51
540 - A,Recorta hojas y las teje con el líquido viscoso que segrega por la boca para hacerse su propia ropa.,30,2.5
541 - A,La vegetación abunda en los bosques que habita. Este Pokémon transforma las hojas caídas en nutrientes.,50,7.3
542 - A,"Si se encuentra con un Pokémon joven, segrega por la boca hilos pegadizos con los que le teje una prenda de ropa.",120,20.5
543 - A,"Percibe su entorno con su sentido del tacto, residente en su cabeza y cola. Su carácter es violento por naturaleza.",40,5.3
544 - A,Lo protege un duro caparazón. Gira como una rueda y realiza brutales placajes contra sus enemigos.,120,58.5
545 - A,Atenaza a sus presas con las garras que sobresalen de su cuello hasta que no se pueden mover y las remata con veneno.,250,200.5
546 - A,Despide motas de algodón cuando lo atacan para confundir a los enemigos y poner pies en polvorosa.,30,0.6
547 - A,Aparecen en medio de un torbellino y entran en las casas para descolocar los muebles o esparcir algodón por doquier.,70,6.6
548 - A,"Mordisquear las hojas de su cabeza permite recuperar toda la vitalidad, a pesar de que están muy amargas.",50,6.6
549 - A,El aroma de la flor de su tocado relaja a cualquiera a su alrededor. Hay que cuidarle mucho para que no se marchite.,110,16.3
549 - B,El aroma de la flor de su tocado relaja a cualquiera a su alrededor. Hay que cuidarle mucho para que no se marchite.,120,19.2
550 - A,"Los de color azul y los de color rojo siempre se pelean. Son muy violentos, pero su sabor es excepcional.",100,18
550 - B,"Los de color azul y los de color rojo siempre se pelean. Son muy violentos, pero su sabor es excepcional.",100,18
550 - C,"Los de color azul y los de color rojo siempre se pelean. Son muy violentos, pero su sabor es excepcional.",100,18
551 - A,"Se desplaza hundido en la arena, dejando al descubierto solo los ojos y la nariz. Una membrana negra le protege los ojos.",70,15.2
552 - A,Viven en manadas. La membrana que cubre sus ojos los protege de la arena.,100,33.4
553 - A,Un Pokémon bastante violento. Ataca todo lo que se mueva delante de él con sus mortíferas mandíbulas.,150,96.3
554 - A,"Como sus excrementos están muy calientes, la gente de antaño se los metía en los bolsillos para calentarse.",60,37.5
554 - B,"Como sus excrementos están muy calientes, la gente de antaño se los metía en los bolsillos para calentarse.",70,40
555 - A,"Cuando resulta gravemente herido, se endurece como una piedra y medita para agudizar la mente.",130,92.9
555 - B,"Cuando resulta gravemente herido, se endurece como una piedra y medita para agudizar la mente.",130,92.9
555 - C,"Cuando resulta gravemente herido, se endurece como una piedra y medita para agudizar la mente.",170,120
555 - D,"Cuando resulta gravemente herido, se endurece como una piedra y medita para agudizar la mente.",170,120
556 - A,Espanta a los Pokémon pájaro con un baile rápido y haciendo ruido para evitar que picoteen las semillas de sus flores.,100,28
557 - A,"Abre un agujero en la roca y vive en él. Si la roca se resquebraja, no se queda tranquilo hasta que no encuentra otra.",30,14.5
558 - A,Su inmensa capacidad motriz le permite desplazarse cargando a sus espaldas rocas enormes durante días.,140,200
559 - A,"Se sube la piel hasta el cuello para defenderse. Su elasticidad, similar a la de una goma, reduce el daño recibido.",60,11.8
560 - A,"Se protege de los ataques con la muda de su piel mientras reparte patadas. Cuanto mayor es su cresta, más se le respeta.",110,30
561 - A,Fue la deidad protectora de una ciudad milenaria. Ataca con su poder psíquico a los enemigos que invaden su territorio.,140,14
562 - A,Almas de humanos sepultados en tumbas que han adquirido forma de Pokémon. Recuerdan su vida antes de la muerte.,50,1.5
562 - B,Almas de humanos sepultados en tumbas que han adquirido forma de Pokémon. Recuerdan su vida antes de la muerte.,50,1.5
563 - A,Se comenta que engulle a todo humano que se le acerca y lo momifica. Su comida favorita son las pepitas de oro.,170,76.5
564 - A,Ya pululaba por las aguas hace 100 millones de años. También va a tierra a veces en busca de alimento.,70,16.5
565 - A,Vive en el mar y en la superficie. Sus garras pueden abrir un agujero en el fondo de un petrolero.,120,81
566 - A,Pokémon que renació de un fósil. Dicen que es el antepasado de todos los Pokémon pájaro.,50,9.5
567 - A,Levanta el vuelo tras coger carrerilla. Coopera con sus compañeros de bandada para atrapar a sus presas.,140,32
568 - A,Pokémon nacido de la reacción química entre una bolsa de basura y residuos industriales.,60,31
569 - A,Apresa a su rival con el brazo izquierdo y le da el golpe de gracia exhalando por la boca un apestoso gas venenoso.,190,107.3
570 - A,Adopta la apariencia de su enemigo para engañarlo vilmente y aprovecha su estupor para poner tierra por medio.,70,12.5
570 - B,Adopta la apariencia de su enemigo para engañarlo vilmente y aprovecha su estupor para poner tierra por medio.,70,12.5
571 - A,Tiene la facultad de confundir a muchos humanos a la vez. Protege su guarida creando un paisaje ilusorio.,160,81.1
571 - B,Tiene la facultad de confundir a muchos humanos a la vez. Protege su guarida creando un paisaje ilusorio.,160,73
572 - A,Se saludan entre sí frotándose con la cola y limpiándose a conciencia.,40,5.8
573 - A,El pelo que cubre su cuerpo proporciona una agradable sensación al tocarlo. No acumula ni polvo ni electricidad estática.,50,7.5
574 - A,Amplifica su poder psíquico con sus antenitas en forma de lazo. Siempre está mirando algo fijamente.,40,5.8
575 - A,"La luz de las estrellas origina su poder. De noche, marca su posición haciendo levitar piedras con su poder psíquico.",70,18
576 - A,Su inmenso poder psíquico distorsiona el espacio y le permite reflejar incluso estrellas a años luz de distancia.,150,44
577 - A,"Gracias a la sustancia viscosa que envuelve su cuerpo, permanece tranquilo por dura o rigurosa que sea la situación.",30,1
578 - A,"Cuando las dos partes de su cerebro piensan lo mismo, saca todo su poder a relucir.",60,8
579 - A,Hacen gala de su poder psíquico y mueven sus brazos compuestos de líquido para controlar rocas y hacerlas añicos.,100,20.1
580 - A,"Cuando se ve atacado, las plumas que lo recubren despiden ráfagas de agua que lo ayudan a escapar.",50,5.5
581 - A,"Aunque no lo parezca por su grácil elegancia, puede batir con fuerza las alas y volar durante miles de kilómetros.",130,24.2
582 - A,Lanza un aliento de -50 °C. Crea bloques de nieve y es capaz de lograr que nieve a su alrededor.,40,5.7
583 - A,Enfrían el aire a su alrededor y crean partículas de hielo mediante las cuales congelan a sus oponentes.,110,41
584 - A,"Si sus dos cabezas se irritan al mismo tiempo, genera una ventisca desde su cuerno cubriendo su entorno con nieve.",130,57.5
585 - A,"El color de su cuerpo cambia no solo con las estaciones, sino también con los cambios de humedad y temperatura.",60,19.5
586 - A,"Cambia de morada dependiendo de las estaciones. Observando sus cuernos, la gente sabe cuándo estas van a cambiar.",190,92.5
587 - A,Vive en la copa de los árboles. Produce descargas mientras vuela con el interior de la membrana que hace de capa.,40,5
588 - A,"Si recibe un estímulo eléctrico al estar en contacto con un Shelmet, evoluciona.",50,5.9
589 - A,Se defienden de los ataques con el caparazón que roban a los Shelmet. Atacan con sus dos mortíferas lanzas.,100,33
590 - A,"Gracias a su misterioso parecido a una Poké Ball, atrae a sus presas y lanza rápidamente esporas de veneno.",20,1
591 - A,"Aunque intenta pasar por parte superior de una Poké Ball para atraer a sus presas, consigue engañar a pocos.",60,10.5
592 - A,"Paraliza a sus presas con veneno y las lleva a su morada, que se encuentra a 8000 m en el fondo del mar.",120,33
593 - A,Su cuerpo se compone de agua salada. Dicen que ha construido un palacio en el fondo del mar con restos de barcos.,220,135
594 - A,"Vive flotando a la deriva en mar abierto. Siempre que encuentra un Pokémon herido, lo abraza y lo lleva a la costa.",120,31.6
595 - A,"No puede generar electricidad por sí mismo, así que se encarama a Pokémon grandes y absorbe su energía estática.",10,0.6
596 - A,"Pone trampas con hilos electrificados. De este modo, electrocuta a sus enemigos y los inmoviliza por completo.",80,14.3
597 - A,"Lanza numerosas púas al detectar peligro. En cuanto tiene ocasión, echa a rodar y se escapa.",60,18.8
598 - A,Azota al enemigo con sus tres tentáculos y después dispara púas hasta que no deja ni rastro del rival.,100,110
599 - A,Genera la energía vital que necesita haciendo girar sus dos cuerpos.,30,21
600 - A,"Muestra sus sentimientos cambiando la dirección de su giro. Cuanto más se enfade, más rápido girará.",60,51
601 - A,Recarga su energía rápidamente haciendo girar con gran celeridad el engranaje equipado con un núcleo rojo.,60,81
602 - A,"La electricidad de uno solo es diminuta, pero, si multitud de Tynamo se conectan, consiguen la potencia de un rayo.",20,0.3
603 - A,"Se enrolla alrededor de su presa, la paraliza con la electricidad de sus marcas circulares y le asesta mordiscos.",120,22
604 - A,Pega la ventosa de su boca en su presa y la electrocuta con sus colmillos.,210,80.5
605 - A,Posee un gran poder psíquico. Lo usa para comprimir el cerebro del enemigo y ocasionarle dolores de cabeza.,50,9
606 - A,"Parece que se comunica haciendo brillar sus dedos tricolores, pero nadie ha conseguido descifrar aún su patrón.",100,34.5
607 - A,"Finge ser una luz guía en el camino, pero en realidad solo quiere absorber la energía vital de quien lo sigue.",30,3.1
608 - A,"Al absorber almas, su llama se enciende. Espera a que la gente fallezca, así que suele deambular por los hospitales.",60,13
609 - A,"Sus llamas absorben el alma del enemigo y la abrasan, dejando solo su cuerpo inerte.",100,34.3
610 - A,"Usa sus colmillos para romper las bayas que come. Estos se regeneran una y otra vez, por eso son tan fuertes y afilados.",60,18
611 - A,Sus colmillos pueden hacer añicos rocas inmensas. Las luchas territoriales de los Fraxure son encarnizadas.,100,36
612 - A,"Es gentil, pero no perdona a todo el que ose invadir su territorio. Su mayor baza son sus colmillos, que cortan el acero.",180,105.5
613 - A,"Siempre está con mucosidades colgando. Las aspira para hacer un movimiento, ya que son su materia prima para esto.",50,8.5
614 - A,Adoran los mares gélidos del norte. Congelan su aliento para crear sendas por las que caminar sobre las aguas.,260,260
615 - A,Nació entre nubes de nieve. Atrapa a sus presas con una cadena hecha de hielo cristalizado.,110,148
616 - A,"Si está junto a Karrablast, y ambos reciben una descarga eléctrica, evolucionan los dos a la vez.",40,7.7
617 - A,Se siente ligero una vez liberado de su caparazón. Lucha y se mueve como un ninja.,80,25.3
618 - A,Ni un pisotón de un luchador de sumo lo aplastaría gracias a su piel sólida. Sonríe al soltar descargas eléctricas.,70,11
618 - B,Ni un pisotón de un luchador de sumo lo aplastaría gracias a su piel sólida. Sonríe al soltar descargas eléctricas.,70,20.5
619 - A,La velocidad de sus ataques es su gran orgullo. Lo que le falta de fuerza bruta lo compensa en cantidad de golpes.,90,20
620 - A,Usa el pelaje de sus brazos a manera de látigos. Sus ataques alcanzan velocidades de vértigo.,140,35.5
621 - A,Corre por estrechas cavernas y atrapa a sus presas con sus afiladas garras. La piel de la cara es más dura que una roca.,160,139
622 - A,"Se mueve gracias a la energía que quema dentro de su cuerpo, pero el origen de esta energía es incierto.",100,92
623 - A,"Al parecer, aquel que antaño lo creó le ordenó proteger a los Pokémon y a los humanos.",280,330
624 - A,"Su cuerpo está provisto de hojas afiladas. Cuando se desgastan, las afila con cantos rodados a la orilla del río.",50,10.2
625 - A,Un Pokémon temible que remata a su presa una vez que su séquito de Pawniard la ha debilitado e inmovilizado.,160,70
626 - A,Embiste con la cabeza sin distinción. Su potencia es capaz de hacer descarrilar un tren en marcha.,160,94.6
627 - A,Quiebra bayas con sus extremidades. Se enfrenta con valentía a todo enemigo por fuerte que este sea.,50,10.5
628 - A,Un valiente guerrero del cielo que no duda en luchar por sus compañeros por graves que sean sus heridas.,150,41
628 - B,Un valiente guerrero del cielo que no duda en luchar por sus compañeros por graves que sean sus heridas.,170,43.4
629 - A,"No puede volar porque sus alas son muy pequeñas. Cuando va a evolucionar, se deshace de su calavera.",50,9
630 - A,"Vuela en círculos. Cuando avista una presa, la ataca y la transporta a su nido con suma facilidad.",120,39.5
631 - A,Usa su lengua de fuego para derretir la armadura de acero de los Durant y llegar así hasta su interior.,140,58
632 - A,"Actúan en grupo para expulsar de sus colonias a los Heatmor, sus depredadores naturales.",30,33
633 - A,"No ve, por eso va haciendo placajes y dando mordiscos a diestro y siniestro. Su cuerpo está plagado de heridas.",80,17.3
634 - A,"Sus dos cabezas se llevan fatal, y la que consigue comer más que la otra es la que lleva la voz cantante.",140,50
635 - A,Las cabezas de sus dos brazos no tienen cerebro. Con sus tres cabezas destruye y devora todo a su paso.,180,160
636 - A,"Se dice que nació del sol. Al evolucionar, cubre su cuerpo con llamas que brotan de sus cuernos.",110,28.8
637 - A,"Cuando combate, despide escamas ardientes de sus seis alas y genera un mar ígneo a su alrededor.",160,46
638 - A,Posee un cuerpo y un corazón de acero. Basta una mirada suya para que Pokémon violentos le obedezcan.,210,250
639 - A,Su potencia al embestir es capaz de derribar las murallas de un castillo. Las leyendas hablan de sus proezas.,190,260
640 - A,Sus cuernos son hojas afiladas. Sacude a sus enemigos con sus relampagueantes movimientos y los reduce.,200,200
641 - A,"La parte inferior de su cuerpo, similar a una nube, está recubierta de un campo de energía. Vuela a 300 km/h.",150,63
641 - B,"La parte inferior de su cuerpo, similar a una nube, está recubierta de un campo de energía. Vuela a 300 km/h.",140,63
642 - A,Lanza descargas eléctricas por las púas de su cola. Sobrevuela Teselia dejando caer rayos.,150,61
642 - B,Lanza descargas eléctricas por las púas de su cola. Sobrevuela Teselia dejando caer rayos.,300,61
643 - A,Pokémon legendario capaz de abrasar el mundo con sus llamas. Ayuda a quienes persiguen un mundo veraz.,320,330
644 - A,Pokémon legendario capaz de chamuscar el mundo con sus rayos. Ayuda a quienes persiguen un mundo de ideales.,290,345
645 - A,Lo consideran una deidad de las cosechas porque los cultivos crecen en abundancia en las tierras por las que pasa.,150,68
645 - B,Lo consideran una deidad de las cosechas porque los cultivos crecen en abundancia en las tierras por las que pasa.,130,68
646 - A,Pokémon legendario que aguarda al héroe que compense el vacío de su cuerpo de hielo con verdad e ideales.,300,325
646 - B,Pokémon legendario que aguarda al héroe que compense el vacío de su cuerpo de hielo con verdad e ideales.,330,325
646 - C,Pokémon legendario que aguarda al héroe que compense el vacío de su cuerpo de hielo con verdad e ideales.,360,325
647 - A,"Corre por mares, ríos o cualquier superficie acuática de todo el mundo. Aparece en aguas límpidas.",140,48.5
647 - B,"Corre por mares, ríos o cualquier superficie acuática de todo el mundo. Aparece en aguas límpidas.",140,48.5
648 - A,Las melodías que canta Meloetta tienen el poder de hacer sentir felicidad a los Pokémon que hay a su alrededor.,60,6.5
648 - B,Las melodías que canta Meloetta tienen el poder de hacer sentir felicidad a los Pokémon que hay a su alrededor.,60,6.5
649 - A,"Pokémon de tipo Bicho de la antigüedad, modificado por el Equipo Plasma. El cañón de su lomo ha sido mejorado.",150,82.5
650 - A,"Cuando acumula energía, las suaves púas de su cabeza se vuelven tan duras y afiladas que hasta pueden atravesar rocas.",40,9
651 - A,Desvía los ataques de los enemigos con la robusta coraza que cubre su cuerpo y contraataca con sus dos afilados cuernos.,70,29
652 - A,"Su fuerza es tal que, de un empellón, puede hacer volcar un tanque de 50 toneladas. Protege a sus aliados cuando hace de escudo.",160,90
653 - A,Tras masticar e ingerir pequeñas ramas se siente pletórico y expulsa aire caliente por sus grandes orejas a temperaturas superiores a los 200 ºC.,40,9.4
654 - A,"Tiene una rama enredada en la cola. Cuando la saca, la rama prende fuego al hacer fricción con su pelaje y se lanza al ataque con ella.",100,14.5
655 - A,Fija la mirada en la llama que arde en la punta de su bastón para concentrarse y prever sucesos que tienen lugar en el futuro.,150,39
656 - A,"Secreta burbujas tanto por la espalda como por el pecho. Gracias a la elasticidad de estas, puede parar ataques y reducir el daño recibido.",30,7
657 - A,"Puede lanzar piedras envueltas en burbujas con tal puntería, que acierta latas vacías a 30 metros de distancia.",60,10.9
658 - A,Comprime el agua y crea estrellas ninja con las que ataca al enemigo. Cuando las hace girar a gran velocidad cortan en dos hasta el metal.,150,40
658 - B,Comprime el agua y crea estrellas ninja con las que ataca al enemigo. Cuando las hace girar a gran velocidad cortan en dos hasta el metal.,150,40
658 - C,Comprime el agua y crea estrellas ninja con las que ataca al enemigo. Cuando las hace girar a gran velocidad cortan en dos hasta el metal.,150,40
659 - A,Usa sus grandes orejas para excavar en la tierra y así crear madrigueras. Puede pasarse una noche entera cavando sin parar.,40,5
660 - A,Sus grandes orejas tienen tal fuerza que con ellas puede levantar con facilidad rocas de más de una tonelada. Es de una ayuda inestimable en las obras.,100,42.4
661 - A,Es muy amigable y se comunica con sus aliados mediante melodiosos gorjeos y el movimiento de su cola y sus gráciles alas.,30,1.7
662 - A,Lanza chispas por su pico y prende fuego a la hierba alta para así sorprender a sus presas y atraparlas cuando intentan escapar.,70,16
663 - A,"Si se exalta durante un combate reñido, arroja chispas y ascuas de los intersticios entre su plumaje mientras vuela.",120,24.5
664 - A,"Cuando recibe el ataque de un Pokémon pájaro, expulsa unas escamas negras que provocan parálisis si se entra en contacto con ellas.",30,2.5
665 - A,"Habita en la sombra de la espesura. Si percibe alguna amenaza, su pelaje se eriza y se vuelve muy afilado para así intimidar al enemigo.",30,8.4
666 - A,En el mundo existen Vivillon con diferentes motivos en sus alas. El clima de cada región influye en sus rasgos.,120,17
667 - A,"Cuanto más poderoso es el enemigo al que se enfrenta, más calor desprende su mechón y más energía recorre todo su cuerpo.",60,13.5
668 - A,El macho con la melena de fuego más grande de toda la manada es el líder de sus compañeros.,150,81.5
669 - A,"Acumula el polen de las flores para confeccionar la tiara que lleva en la cabeza, que cuenta con propiedades curativas.",10,0.1
670 - A,Revolotea alrededor de campos de flores y cuida de aquellas que empiezan a marchitarse. Usa en combate el poder oculto de las flores.,20,0.9
670 - B,Revolotea alrededor de campos de flores y cuida de aquellas que empiezan a marchitarse. Usa en combate el poder oculto de las flores.,20,0.9
671 - A,Habita en preciosos jardines floridos. Absorbe la energía que emiten las plantas y la convierte en su fuente de poder.,110,10
672 - A,Se dice que fue la primera especie de Pokémon que se acostumbró a vivir con los seres humanos. Tiene una naturaleza muy afable.,90,31
673 - A,"Percibe los sentimientos del Entrenador por la forma en la que agarra sus cuernos, aunque sean variaciones sutiles, y así avanzan como si fueran un solo ente.",170,91
674 - A,"Se esfuerza mucho para que el enemigo no lo menosprecie, pero su mirada no intimida demasiado. Se caracteriza por mascar siempre una hoja.",60,8
675 - A,"Es muy temperamental, pero no permite que nadie se meta con los débiles. Mediante su hoja, predice los movimientos del enemigo.",210,136
676 - A,"Cuando le esquilan su mullido pelaje, no solo mejora su apariencia, sino que aumenta su agilidad.",120,28
677 - A,Protege con las orejas el órgano con el que irradia su intenso poder psíquico para evitar que este se escape al exterior.,30,3.5
678 - A,"Cuando percibe peligro, yergue sus orejas y desata un poder psíquico capaz de levantar un camión de unas 10 toneladas.",60,8.5
678 - B,"Cuando percibe peligro, yergue sus orejas y desata un poder psíquico capaz de levantar un camión de unas 10 toneladas.",60,8.5
679 - A,Cuentan que este Pokémon nace cuando el espíritu de un difunto toma posesión de una espada antigua. Se aferra a las personas y absorbe su energía.,80,2
680 - A,Al evolucionar se divide en dos espadas. Se comunican entre sí mediante telepatía y coordinan los ataques para rebanar al enemigo.,80,4.5
681 - A,Han permanecido junto a estirpes de reyes durante generaciones. Mediante su poder espectral pueden controlar a humanos y a Pokémon.,170,53
681 - B,Han permanecido junto a estirpes de reyes durante generaciones. Mediante su poder espectral pueden controlar a humanos y a Pokémon.,170,53
682 - A,Su cuerpo emana una fragancia que embelesa a quien la huele. La fragancia es diferente según los alimentos que ingiere.,20,0.5
683 - A,"Puede producir multitud de olores diferentes y, en combate, secreta los que le resultan molestos al enemigo para así contar con cierta ventaja.",80,15.5
684 - A,"Escupe hebras pegajosas de color blanco y textura parecida a la del algodón de azúcar, con las que envuelve al enemigo y le impide que se mueva.",40,3.5
685 - A,Puede rastrear hasta el más débil de los olores. Hace uso de su fino olfato para ayudar a los pasteleros más exquisitos.,80,5
686 - A,Los enemigos que contemplan el titilante fulgor de su brillante cuerpo terminan mareándose y pierden las ganas de continuar combatiendo.,40,3.5
687 - A,Tiene a su disposición los poderes hipnóticos más poderosos de entre todos los Pokémon. Controla al enemigo a su voluntad.,150,47
688 - A,"Dos Binacle conviven en la misma roca, pero cuando se produce un altercado entre ambos, uno de ellos se muda a otra.",50,31
689 - A,"Al evolucionar, los dos Binacle se dividen y dan lugar a siete criaturas que se aglomeran formando un Barbaracle y suman su poder al combatir.",130,96
690 - A,Adopta la apariencia de algas podridas y lanza un líquido venenoso a las presas desprevenidas que pasan cerca.,50,7.3
691 - A,"Ataca de manera indiscriminada a quien ose adentrarse en su territorio, escupiéndole un virulento veneno que puede corroer hasta el casco de un petrolero.",180,81.5
692 - A,Abate a enemigos voladores disparando agua a presión con su enorme pinza como si de una pistola se tratara.,50,8.3
693 - A,Posee una enorme pinza que dispara bolas de agua que podrían atravesar incluso el casco de un petrolero.,130,35.3
694 - A,"Habita en los desiertos y, cuando toma el sol, acumula energía, lo que le permite vivir sin la necesidad de ingerir alimentos.",50,6
695 - A,Extiende su gorguera y genera energía eléctrica suficiente para cubrir el consumo de electricidad de un rascacielos entero.,100,21
696 - A,"Pokémon recreado a partir de fósiles. Cuando sucede algo que no es de su agrado, se enfurece y se vuelve violento.",80,26
697 - A,"En el mundo antiguo en el que habitaba no tenía rivales gracias a sus mandíbulas, con las que podría despedazar con facilidad gruesas placas de acero.",250,270
698 - A,"Pokémon que ha sido regenerado a partir de un trozo de su antiguo cuerpo, que quedó congelado hace unos 100 millones de años.",130,25.2
699 - A,Expulsa un gas gélido a temperaturas inferiores a los -150 ºC a través de sus cristales romboides y congela así a su enemigo.,270,225
